luc_class,region,rock_type,soil,slope,erosion,vegetation
town,MARL,town,town,town,town,town
7e 2,COR,Vo,26,F,2Ss1Sh,M 1
estu,NLD,estu,estu,estu,estu,M12
6s 1,MARL,Al,Aw,A    +B,1Sb1D,P 1
6e 5,COR,Mo/Vo,WGh,G,0,M 1 n 5
4e 5,NLD,Sm',YC,C    +D,2T 1Sh,P 1 n3a
4e 1,WKO,Mo,Du,D,1Ss,P 1
4s 1,SHW,Gr,75b,A,0,P 1 p 2
8s 1,NLD,Vo,BRock,G    +F,0,m 6
8e 3,NLD,Gw'+Gw,MRH,D    +G,1Sh,P 1
3s 4,NLD,Us,HO,A,1W,M 1
6e19,NLD,Sm+(Us),HWH,D    +E,1Sh1G,N 6
4s 5,NLD,Wb+(Pt),OE,B,0,P 1 p 2 h 2
6e 7,NLD,Sm+Mx,YCH,D    +E,1Ss,P 1 m 1 n3a
8e 1,NLD,Wb,BRock,A    +B,5W,-
6e16,MARL,Lo/Ms,16dH,E,1Sh1T,P 2 p 3
3e 5,NLD,Us,TT,C    +B,1Sh1W,P 1 m 1 l 4
6e 7,NLD,Ar,HKf,D    +C,0,P 1
6e 1,NLD,Sm,YCeH,E    +D,0,P 1 M 1 n3a
6e 1+7e 1,WKO,Mo/Vo,58 H,E    +F,2Ss1Sh,P 1 m 6
2w 2,NLD,Al,KA,A,0,P 1
6e 3,GEC,Mo/Sm,@NZSC,E    +F,0,refer gecveg
8e 6,GEC,Sm,@NZSC,G    +F,1Ss,refer gecveg
2w 1,NLD,Al,MF,A,0,P 1
lake,WKO,lake,lake,lake,lake,lake
8e 9,MARL,Gw,57a,G    +F,2Sc1Sh1Da,P 4 m 6 p 2 m 5
3e 2,BOP,Mo/Lp,14b,B    +C,0,P 1
8e 8,MARL,Gw,51a,F    +G,4Sc2G,p 3 p 4
7e 2,WKO,Gw+Ar,121d,G,2Da,M 6 n 5 p 2
4e 5,BOP,Ta/Mo,Mb,C,0,M 6 m 4
7e21,GEC,Mj+Mb,@NZSC,F    +E,2Ss2G 1Su,refer gecveg
6e 1,NLD,Sb'+Ar,WAH,E    +D,1Ss1G 1T,P 1 h 2cn3a m 6
6e16,WKO,Mo/Sm,60dH,E,1Ss,N 5 m 6 n3a
3e 2,TMU,Mo,67,B    +C,0,P 1
6e 2,NLD,Vo+Ar,YNH,E    +D,1Ss1Sh1Ef,P 1 n 7
6e17,GEC,Sb,@NZSC,F    +E,0,refer gecveg
3e 6,TMU,Mo,69,B    +C,0,P 1
4e10,NLD,Us,TT,C,2Sh2W,P 1 m 1 h 2
8e10,TMU,Ng/Mo/Vo,4,C,0,N4b
6e 9,NLD,Gw',RAH,E,0,M 1 N3a n 2
6w 1,NLD,Al,WFm,A,0,P 1 h 2 n 7
