luc_class,region,rock_type,soil,slope,erosion,vegetation
6e 3,WKO,Gw',44cH,E,0,P 1
2e 2,WKO,Mo,83,B,0,P 1
6e 6,WKO,Gw',44cH,E,1Ss1Sh,P 1 m 1
4e 4,BOP,Mo/Gw,19,C,0,M 5 n3a
6e 3,WKO,Sb+Mj,KeH,E    +F,1Ss1G,P 1
7w 1,WKO,Pt/Al,Ng,A,0,N 8 h 1
6e 3,WKO,(Mo)/Gw',HgH,E,1Sh,P 1 m 6 m 1
3e 2,WKO,Mo,Pe,C',0,P 1
6e 3,WKO,(Mo)/Mj+Sb,Du,D    +E,0,P 1
6e 3,COR,Mo/Vu',Kh,D /E,0,P 1
2e 1,WKO,Mo,Pe,B,0,P 1
6e 3,WKO,Sm+Mj,KeH,E    +F,1Ss1Sh,P 2
6e10,COR,Vo+Vu',KH,F,1Ss,M 6 m 1
6e 3,WKO,Sm,KeH,D,1Sh,P 1
6e 9,WKO,Sb+Mj,GmH,E,1Ss1Ef,P 1cn3a
6e10,COR,Vo+Vu',WKH,F,1Ss,P 2 n 5
7e24,GEC,Ac+Gw,@NZSC,F,4G 2Ef,refer gecveg
4e 3,WKO,(Mo)/Gw',35 H,D,0,P 1
4e 3,WKO,(Mo)/Gw',44cH,D,0,P 1
2e 1,WKO,Mo/Vo,Pe,B,0,P 1
3w 1,WKO,Pt+Al,110b,A,0,P 2 h 2
6e21,WKO,Sm,KeH,F,1Ss,P 2 m 1
3e 3,WKO,Mo,83b,C,0,P 1
6e 7,WKO,Sm,KeH,E    +F,1Ss1Sh,P 2
7e 2,COR,Vo+Vu',A,F,1Ss,N3a m 1
6e17,WKO,Gw',122b,F    +E,1Ss,P 1cN3a
6e14,WKO,Gw',35 H,E    +F,1Sh1Ss,P 1 n 7
6e 5,COR,Mo/Vu'+Vo,WKh,E,0,N3a m 1
7s 1,WKO,Sm,KpS,G    +F,1Sh,P 2
2w 1,WKO,Al,WI,A,0,P 1
2w 1,WKO,Al,2,A,0,P 1
6e21,WKO,Mj+Sb',AkS,F    +E,1Ef1Ss,P 1 n3a
4w 1,WKO,Al,2c,A,0,P 2 h 1
6e21,WKO,Sb',KeH,F,0,cN 5
town,WKO,town,town,town,town,town
3e 1,COR,Mo/Vo,WT,C,0,P 1
6e 3,WKO,Sm,KeH,E,0,P 1 n 8
6e 9,WKO,Mj,WaH,F,1Ef1Ss,P 1
4e 3,WKO,(Mo)/Gw',46d,D,0,P 1
6e14,WKO,Gw'+Gw,122b,F    +E,1Sh,P 1
2w 3,WKO,Al,M,A,0,P 1
6w 1,WKO,Al,Ka,B,0,P 1
6e12,SI,Ms+Ss/St2,8cH,D    +E,1Sh,P 2 p 3 m11 m10
4e 1,COR,Mo/Vo,WT,C /D,0,P 1
2w 1,WKO,Al,WI,A,0,P 1
4e 2,WKO,Mo/Us,Kn,D,0,P 1
6e 6,WKO,Ar+Gw,PuH,F    +E,1Sh1Ss,P 1cn3a
3e 4,WKO,Al,Ka,C,0,P 1
4e 3,WKO,Mj,RwH,D,0,P 1
4e 1,WKO,(Mo)/Ar,Du,D,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1
6e10,COR,Vo+Vu',WH,F,1Ss,M 1 P 2
6e 3,WKO,Sm,KeH,E    +F,1Ss,P 1
6e 9,WKO,Sm+Mm,KeH,F,1Ef,P 1 m 6
6e17,WKO,Gw'+Gw,122b,F,1Ss1Sh,P 1 m 6
4e 1,COR,Mo/Us,KR,C /D,0,P 1
6e 3,WKO,Sm,KeH,E,1Ss,P 2
3w 2,WKO,Al,N,A,0,P 1
6e13,WKO,Ar+Gw,PaS,F,1Sh,P 1
4w 1,WKO,Al,Mp,A,0,P 1
2e 2,WKO,Mo,83,B,0,P 1
3e 3,WKO,Mo,Nk,C,0,P 1
3e 1,COR,Mo/Vo,W,B /C,0,P 1
6e 3,WKO,Sb',GmH,E,2Sh1Ss,P 1 m 6 m 8
6e14,WKO,Gw',46dH,E    +F,1Ss,M 6 m 1 p 2
7e 2,WKO,Gw,122b,F    +G,1Sh1Ss,P 1
6e11+4e 9,BOP,Mo/Vo,MH,E    +C,2Sh,P 2 m 6 l 3
6e 9,WKO,Sm+Mj,KwH,E,1Ef,P 1
2w 3,WKO,Al,98c,A,0,P 1
6w 1,WKO,Al,Mp,A,0,H 1 P 2
6e13,WKO,Ar+Gw,PaS,F,0,cN3a
7w 1,WKO,Pt/Al,Ng,A,0,N 8 h 1
6e 9,WKO,Mj,RwH,E,2Ef,P 1 m 4
1s 1,WKO,Us,Ha,A,0,P 1
6w 1,WKO,Al,Mp,A,0,H 1 P 2
3w 1,WKO,Al,W,A    +B,0,P 1
6e21,WKO,Sb',KeH,F,1Ss1Sh,P 1 m 6
6e 9,WKO,Mj,WaH,D,2Ef,P 1 h 2
6e 6,WKO,Ar+Gw,PuH,E    +F,1Ss,cN3a
6e 3,WKO,Gw',35 H,E    +D,0,P 1
6e 7,WKO,Sm,KeH,F    +E,1Ss1Sh1Ef,P 1 m 1
6e14,WKO,(Mo)/Gw',MmH,F    +E,0,P 1 m 1 m 6
6e 9,WKO,Mj+Mm,RwH,E    +D,1Ef,P 1
6e 9,WKO,Sm,KeH,E,1Ef1Ss,P 1 m 1
4e 1,COR,Mo/Us,54,D,1T,P 1
8e 1,COR,Wb,BRock,C /D,2W,H 5
6e14,WKO,Gw',46dH,F    +E,1Sh,P 1 m 6
6e10,COR,Vo+Vu',KH,F,0,N3a m 1
6e 7,WKO,Sm,KeH,F    +E,1Ss1Sh1Ef,P 1 m 1
7e 2,WKO,Gw,TeH,F    +G,1Ss,cN 5 m 6
6e14,WKO,Gw'+Gw,TeH,E    +F,1Sh,P 1 m 6
7s 1,WKO,Sm+Li,KeH,F    +G,1Ss,P 1
6e 6,WKO,Gw,35 H,E,0,cN3a m 6
6e 3,WKO,(Mo)/Mj,Du,D    +E,0,P 1 m 1
3e 1,WKO,Mo/Sm,Du,C,0,P 1
6e 9,WKO,Mj,KeH,D,1Ef,P 1
4e 1,WKO,Mo,Du,D,0,P 1
6e 9,WKO,Mj,WaH,D,1Ef,P 1 h 2
6e 3,WKO,Gw',35 H,E,0,P 1
3w 4,WKO,Us,Tn,A,0,P 1
6e 3,COR,Mo/Vo,WKh,E,0,P 1
8e 3,COR,Vo,BRock,G,2Ss,N 5 m 1
6e13,WKO,Ar+Gw,PaS,F,0,N 5
3e 3,NLD,Sb',MV,B,0,P 1 l 2
6e15,WKO,Us/Mj,HoH,E,0,P 1 m 6
4e 2,WKO,(Mo)/Gw,86b,D,0,P 1
2w 2,WKO,Al,2c,A,1Sb,P 1
7e 2,WKO,Gw,MS,F    +G,1Ss,cN 5
6e 9,COR,(Mo)/Vo,PTh,E /F,0,P 2 m 1
6e 9,COR,Vo',PTh,E /F,0,N 5
6e17,WKO,Gw',46dH,F,1Ss,M 1 M 6
6e13,WKO,Ar+Gw,PaS,F,0,N 5
6e 9,WKO,Mj+Sm,KeH,E,1Ef,P 2 m 4
6e 9,WKO,Mj+Sm,KeH,E    +D,1Ef,P 1 h 2
6e14,WKO,Gw+Gw',TeH,F,1Sh,M 6cn 5
2e 5,WKO,Al,Ka,B,0,P 1
6e 9,WKO,Sm+Mj,KeH,D    +C,1Ef,P 1
6e 9,WKO,Mm+Mj,WaH,E,1Ef,P 1
6e14,WKO,Gw'+Gw,35 H,E    +F,1Sh1Ss,P 1 m 6
4e 1,WKO,Mo,62a,D    +C,0,P 1
6e 1,COR,Mo/Vo',W,D,0,P 2 m 1
6e 3,WKO,(Mo)/Gw',86b,E,0,P 1
6s 1,WKO,Us,HoH,D    +E,0,N 1 P 1
3e 1,WKO,(Mo)/Mj,Du,C    +D,0,P 1
6e 9,WKO,Mj+Sm,WaH,E,1Ef1Ss,P 1
4e 3,WKO,Us,Cc,D    +C,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1 l 4
6e 6,WKO,Ar+Gw,PaS,E    +F,0,cN 5 m 6
3e 1,COR,Mo/Us,54,C,0,P 1
6e 3,COR,Mo/Vo,WKh,D /E,1Sh,M 1 P 2
6e 3,WKO,(Mo)/Mj,Ow,D    +C,1Ef1Sh,P 1 n 5
4e 1,WKO,Mo,Du,D    +C,0,P 1
1s 1,WKO,Us,Wh,B,0,P 1
6e21,WKO,Sm+Mj,KeH,F,1Ef,P 1
4e 1,WKO,Mo,Du,D,0,P 1
6e17,WKO,Gw+Gw',35 H,F    +E,1Ss,P 1
6e10,COR,(Mo)/Vo+Vu,Kh,F,1Ss,N 2 n3a
7e 2,WKO,Gw+Gw',TeH,G    +F,1Sh1Ss,P 2
6e17,WKO,Gw',MmH,F,1Ss,M 6 m 1cn 5
6e 3,WKO,(Mo)/Us,Du,E    +D,1Sh,P 1
6e 9,WKO,Mj,Ow,D    +C,0,P 2 h 2
6e 6,COR,Mo/Vo,WKh,E,0,M 1 n 5
3e 1,COR,Mo/Vo,WT,C,0,P 1
3w 1,WKO,Al,O,A,0,P 1 n 7
6e21,WKO,Sm',KeH,F    +D,0,P 1 m 1
3e 3,WKO,(Mo)/Mj,Nk,C    +D,0,P 1
6e15,WKO,(Us)/Mj,HoH,E,1Ss,P 1
6e 9,WKO,Mj,RwH,D    +C,1Ef,P 1
4e 1,WKO,Mo,Du,D    +C,0,P 1
7e 4,COR,Vo,130,F /G,1Sh1W,N 5 n 2 m 1
6e14,WKO,Gw'+Gw,HgH,F    +E,1Sh1Ss,P 1 m 6
8e 3,WKO,Us+Mm,HoH,G,2Ss,M 1
6e 5,WKO,Gw',MmH,E    +F,1Sh1Ss,P 1 m 1 m 6
4e 1,WKO,Mo,Du,D,0,P 1
6e 6,COR,Mo/Vo,WKh,E,0,N 5
6e10,COR,Vo,WKH,F,0,N 2 n3a
4e 1,WKO,Mo/Gw,Kh,D,0,P 1
6e14,WKO,Gw'+Gw,46dH,E    +F,0,P 1
6e10,WKO,(Mo)/Vo,KrH,E,0,P 1 m 6
4e 1,COR,Mo/Vo',WT,C /D,0,P 1 m 1
6e 9,WKO,Mj+Sm,KeH,E    +D,1Ef,P 1
2e 3,WKO,Mo/Us,Du,B,0,P 1
8e 3,WKO,Mm,BRock,G,2Ss,M 1
8e 2,GEC,Sm,@NZSC,H,2Ss,refer gecveg
2w 4,WKO,Al,Nr,A,0,P 1
7e 2,WKO,Gw+Gw',TeH,F,1Ss,cN 5 m 6
2e 2,WKO,Mo/Us,83,B,0,P 1
6e 9,COR,Vo,PTH,E /F,1Sh,M 6 n 5 n 6
6e 7,WKO,Mj+Sb,RwH,E,1Ef1Ss,P 1
6e 3,WKO,Mj+Sb,RwH,E    +F,1Ss,P 1
3e 3,WKO,Mo,83,C,0,P 1
2w 3,WKO,Us,M,A,0,P 1
3e 4,WKO,Us+(Al),Ru,C,0,P 1
1s 1,WKO,Us,TP,A,0,P 1
6e13,WKO,Ar+Gw,KwH,F,2Sh1Ss,P 1
2e 5,WKO,Us,Ru,B    +C,0,P 1
4e 1,COR,(Mo)/Vo',WT,C /D,0,P 1
6e 5,WKO,(Mo)/Gw,KrH,E,0,P 1
2e 2,WKO,Mo/Sm,Nk,B,0,P 1
6e13,WKO,Gw',KwH,F    +E,1Ss,P 1
4w 1,WKO,Al,O,A,0,N 8 h 2 p 2
6w 1,WKO,Al,Mp,A,0,n 8 n 7 h 1
2w 1,WKO,Al,1,A,0,P 1
3w 1,WKO,Al+Pt,Tt,A,0,P 1 h 1
6e 9,COR,(Mo)/Vo,PTh,E /F,1Ss,M 1 n 2 n3a
6e 3,WKO,(Mo)/Sm,KeH,D    +E,0,P 1
7e 4,COR,Vo,A,F /G,1Ss,P 2 m 1
3e 4,WKO,Us,Ru,C    +B,0,P 1
6e10,COR,(Mo)/Vo+Vu,Kh,F,0,P 2
2w 1,WKO,Al,O,A,0,P 1
3w 1,WKO,Al,Mp,A,0,P 1
4e 3,WKO,(Mo)/Gw,46dH,D,0,P 1
2e 5,WKO,(Mo)/Us,Ru,B,0,P 1
6e 3,WKO,(Us)/Sb,HoH,E,1Ss1G,P 1 m 1 m 6
4e 3,WKO,(Mo)/Gw',46b,D,0,P 1
2s 5,WKO,Pt,Rt,A,0,P 1
6e 6,WKO,(Mo)/Gw,35 H,E,1Ss1Sh,P 1 h 2
6e 9,WKO,Mj,RwH,C    +D,2Ef,P 1
4e 1,WKO,Us+Mo,Ho,D    +C,0,P 1
3e 1,WKO,(Mo)/Mj+Ar,Du,C    +D,0,P 1 n 5
6s 1,WKO,Us+Vo,HoH,D,0,P 1 m 1
6e 4,COR,Mo/Vo,WKh,D,0,N3a
2w 2,WKO,Pt+Al,Rt,A,0,P 1 h 2
6s 2,BOP,Kt/Mo/Vo,TxH,D,1Sh,P 2 m 4
6e 1,GEC,Mo/Sm,@NZSC,D    +E,0,refer gecveg
4e 4,NLD,Li+Mx,MT,C,1Ef,P 1
2w 3,WKO,Us,Wt,A,0,P 1
4e 2,COR,Mo/Vo,WKh,C /D,0,N3a
2w 2,WKO,Us+Pt,108a,A,0,P 1 h 1
2s 3,WKO,Mo,83,B,0,P 1
6e 3,WKO,(Mo)/Gw+Us,KwH,E    +D,1Ss,P 1 m 1
8e 3,COR,Vo,BRock,G,1Ss,N 2 n3a
6e10,COR,(Mo)/Vo,KH,F,1Ss,P 2 N 5
3w 3,WKO,Al,Nr,A,0,P 1 n 7
2e 2,WKO,Mo,Mv,B,0,P 1
2e 2,WKO,Mo,83,B    +A,0,P 1
6e 6,WKO,(Mo)/Gw',46dH,E,0,P 1
estu,NLD,estu,estu,estu,estu,M12
4e 3,WKO,(Mo)/Us,Ru,D    +C,0,P 1
2s 1,WKO,Us,TP,A,0,P 1
6e 6,WKO,(Mo)/Gw'+Gw,46dH,E    +D,1Ss,M 6 m 1
6e 6,WKO,Gw,46dH,E    +F,1Ss,P 1 m 1 n3a
3e 1,WKO,Mo+(Us),Kw,B    +C,0,P 1
1s 1,WKO,Us,Wh,A,0,P 1
6e 1,WKO,(Mo)/Sm,DuH,E,0,N3a p 2
7e 4,BOP,Mo/Vo,TS,F,1Da,N4b m 5
4e 8,NLD,Mx,YK,C,1G,P 1
7e23,GEC,Mb+Mj,@NZSC,F    +G,3Ss2G 1Su,refer gecveg
3e 1,COR,Mo/Us,54,C,0,P 1
2s 5,WKO,Pt,Rt,A,0,P 1 H 1 n 8
4e 2,WKO,Mo,Nk,D    +C,0,P 1 l 3
2s 1,WKO,Us,48b,A,0,P 1
3w 3,WKO,Al,Nr,A',1D,P 1 n 7 n 8
4e 2,WKO,Mo,Nk,C /D,0,P 1
6e 5,WKO,(Mo)/Gw,KwH,E /F,1Ss1Es,P 1 m 6
7e 9,COR,Vo,TG,G,1Ss,M 1 N 5
4e 2,WKO,Mo,HmR,D,0,P 1
6e 2,WKO,Mo/Gw,Nk,E,0,P 1
6e 3,WKO,Sm,KeH,D    +E,1Sh,P 1
2w 3,WKO,Us,Wt,A,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1
7e 4,BOP,Mo/Vo,130a,E /F,0,N3a
1s 1,WKO,Us,Wh,A,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1
6e 5,WKO,(Mo)/Gw,KwH,E,0,P 1 n 7
6e 5,WKO,(Mo)/Gw,KwH,E /F,1Ss1Es,P 1 m 6
6e11,BOP,Mo/Vo,42aH,D /E,0,N3a n3b
6e 1,BOP,Mo/Vo,TT,E,0,P 2 m 6 n 6
1s 1,WKO,Us,Wh,A,0,P 1
4e 2,WKO,Mo,Nk,D    +C,1Ss,P 1
6e 6,WKO,Gw',HgH,E    +F,1Sh,M 1 P 1
7e 4,BOP,Mo/Vo,130a,F,1Ss1Da,N3acn 5
6s 4,BOP,Wb,23a,C /D,0,N 6
1s 1,WKO,Us,TP,A,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1
6e14,WKO,Gw',HgH,F    +E,0,M 1 n 5
3w 1,WKO,Al+Us,1,A,0,P 1 n 8
2s 5,WKO,Pt,Rt,A,0,H 1 P 1
6e 9,WKO,(Mo)/Sm+Mj,KeH,E    +C,1Ef1Ss,P 1
6e13,WKO,Gw,WnS,F    +E,0,cN 5
6e11,BOP,Mo/Vo,55 H,E,1Ss1Sh,N4b
4e 2,WKO,Mo,Nk,D    +C,0,P 1 m 8
1s 1,WKO,Us,Wh,A,0,P 1
3e 3,WKO,Mo,83,C    +B,0,P 1
6e14,WKO,Gw',MmH,F    +E,0,M 1 n 5
8e 3,BOP,(Mo)/Vo,130a,G    +F,1Da,N3a
2w 2,WKO,Us+Pt,105a,A,0,P 1
4e 3,WKO,Gw',Hg,D,0,P 1 m 1
6e 3,WKO,(Mo)/Sm,KeH,E,1Ss,P 1
6e 2,BOP,Mo/Us,54 H,E,1Ss,cN 5
6e 1,WKO,Mo/Sm+Li,Du,D    +E,1Ss,P 1
6e 3,WKO,Mo/Gw,KwH,E    +F,1Sh,M 4 m 8 p 2
6e 1,BOP,Mo/Vo,KmH,E,1Sh,P 2 N3a m 8
7e 4,BOP,Mo/Vo,KmH,F,1Ss,P 2 M 6 m 8
6e 2,BOP,Mo/Us,54 H,E,1Ss1Sb,P 1 m 8
3e 3,WKO,Mo,Hm,B /C,0,P 1
6e13,WKO,Gw,WnS,F,2Sh1Ss,P 2 n3a
1s 1,WKO,Us,TP,A,0,P 1
4e 2,BOP,Mo/Vo,16a,C,0,P 1
6e13,WKO,Gw,WnS,F    +E,1Ss1Sh,P 1cn 5 m 8
3e 3,WKO,Mo,Mv,B /C,0,P 1
4e 1,WKO,Mo,Du,D,0,P 1
4e 2,WKO,Mo,HmR,C /D,0,P 1 n 5
6e 3,WKO,Gw',HgH,D,1Ss,P 1 m 1 h 2
4w 1,BOP,Tp+Pt,109,A,0,P 1 H 2
2w 3,WKO,Us,Wt,A,0,P 1 l 1
7e 4,BOP,Mo/Vo,130a,F,1Ss,N3a m 6
3w 3,WKO,Al,Nr,A,0,P 1 m 8
6e 1,BOP,Mo/Vo,KmH,E,1Ss1G,P 2 m 8 n 6
4e 1,BOP,Mo/Us,54,C    +D,1Sh,P 1 m 6 l 2
6e 7,WKO,Mj+Sm,WaH,E    +F,1Ss1Sh,P 1
3e 4,WKO,Us,Hs,C,0,P 1
6e 9,WKO,Mj+Mm+Li,RwH,D    +E,1Ef1Ss,P 1 h 2 m 6
3w 1,BOP,Tp+Pt,109,A,0,H 2 P 1
6e 5,BOP,Mo/Vo,18 H,E    +F,0,P 1 p 2
3e 1+6e 2,BOP,Mo/Us,54,B    +E,1Ss,P 1 m 8
6e 5,WKO,Gw,KwH,E    +F,1Sh1Ss,P 1
6e13,WKO,Gw,WnS,F    +G,1Ss1Sh,P 2 m 1
6e 7,WKO,Sm+Mj,KeH,D    +F,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1
4e 1,WKO,Mo/Mj,Du,D,0,P 1
3e 3,WKO,Mo,Nk,C,0,P 1
6e 7,WKO,Mm+Sm,WaH,E    +F,1Ss1Sh,P 1
2s 2,WKO,Mo/Us,Wk,A    +B,0,P 1
7e 4,BOP,Mo/Vo,130a,F,1Ss,P 2 M 6
3w 1,WKO,Al,To,A,0,P 1 h 2
4e 1,BOP,Mo/Us,54,C /D,0,P 1
6e 8,WKO,Mo/Mm+Mj,DuH,E,1Ss1Sh1Ef,P 1
3w 1,BOP,Tp,107g,A,0,P 1 h 2
4e 1,WKO,Mo,TT,C    +D,1T 1D 1Sb,P 1
3e 1,WKO,Mo+Mj,Du,C,0,P 1
6e 7,WKO,Sm,KeH,E    +F,0,P 1
1s 1,WKO,Us,TP,A,0,P 1
7e 4,BOP,Mo/Vo,KmH,F,2Ss,P 2 m 6 m 4
2w 2,WKO,Pt+Al,Mo,A,0,P 1
6e 7,WKO,Sm+Mj,WmH,E    +F,1Ss1Ef,P 1 m 6
4e 2,WKO,Mo,83,D,0,P 1
2e 2,WKO,Mo,Mv,B    +C,0,P 1
4s 2,BOP,Wb,23a,B,0,N 6
4e 3,WKO,Mj,Ow,C    +D,1G 1Ef,P 1 h 2
2s 1,WKO,Us,TP,A,0,P 1
3e 3,WKO,Mo/Us,Hm,C,0,P 1
2w 1,BOP,Tp,2,A,0,P 1 h 2
7e 3+8e11,SI,Gw+Ls,41a,G,3Ss Da,P 2 M 6 n 5
3e 3,WKO,Mo,Kn,C,0,P 1
6e 2,BOP,Mo/Us,54 H,E,0,P 1
4s 3,GEC,Gr,@NZSC,C    +B,1G 1Ss,refer gecveg
7e 4,BOP,Mo/Vo,130a,F,1Ss,N3a
6e16,NLD,Vo,YTH,E    +F,0,M 1 n 2
8e 5,GEC,Vo,@NZSC,G    +H,1Ss,refer gecveg
6e 3,WKO,(Mo)/Gw,KwH,D /E,0,P 1 m 8
6e15,GEC,Vo+Gr,@NZSC,D,0,refer gecveg
6e 3,WKO,(Mo)/Mj,RwH,D,0,P 1
4e 1,WKO,Mo,57,D,0,P 1
4e 1,NLD,Li,AU,C,1T,P 1
6e 3,BOP,Mo/Us,55bH,E,1Ss,P 1 m 1
6e 3,WKO,(Mo)/Gw,KwH,E    +D,1Ss,P 1 m 4 n 7
7e13,GEC,Vo,@NZSC,F    +E,1Ss,refer gecveg
4s 3,GEC,Gr,@NZSC,D,1G,refer gecveg
6e 1,GEC,Mo/Vo,@NZSC,D,0,refer gecveg
6e 1,BOP,Mo/Vo,56,E,1Sh,P 1 n 6 m 1
6e 7,WKO,Sm+Mj,KeH,E    +F,1Ss,P 1
6e 2,BOP,Mo/Us,55bH,E,1Ss,P 1 m 6 n 6
4e 2,WKO,Mo,83,D,0,P 1
7e 2,WKO,Gw,WnS,F /G,1Ss1Sh,N 5 p 2
6e15,GEC,(Mo)/Vo,@NZSC,E    +D,1Ss,refer gecveg
2w 3,WKO,Us,Wt,A,0,P 1 l 1 h 2
6e 2,BOP,Mo/Us,55bH,E /F,1Ss,P 1 m 8 m 1
4e 1,WKO,(Mo)/Gw,Du,D,0,P 1
4e 2,WKO,Mo,MvR,D    +C,0,P 1
6e 2,BOP,Mo/Us,54 H,E /F,1Ss,P 1 m 1
6e15,GEC,(Mo)/Vo+(Mo)/Gr,@NZSC,D    +E,1G,refer gecveg
8e 3,WKO,(Mo)/Vo,TS,G,1Da,N3a n4b m 6
6e15,GEC,Vo,@NZSC,E    +F,1Ss,refer gecveg
6e 5,WKO,Gw,KwH,E,1Ss,P 1 N 7
6e15,GEC,(Mo)/Vo,@NZSC,E    +D,1Ss1G,refer gecveg
5c 1,NLD,Li,AUH,E    +D,1T,P 1
6e15,GEC,Vo,@NZSC,E,1Sh,refer gecveg
7e13,GEC,Vo,@NZSC,F,2Ss,refer gecveg
7e 4,BOP,Mo/Vo,130a,F,1Da1Ss,N3a
6e 7,WKO,Mm+Mj,RwH,F    +E,1Ss1Ef,P 1
3w 3,GEC,Al,@NZSC,A,2Sb,refer gecveg
4e 1,GEC,Mo/Vo,@NZSC,D    +C,1Ss1T,refer gecveg
4e 1,BOP,Mo/Vo,55b,C    +D,0,P 1 m 1 m 6
4e 1,WKO,Mo,Du,C    +D,0,P 1
6e 1,GEC,Mo/Us,@NZSC,D    +E,1Ss1T,refer gecveg
2s 1,WKO,Us,TP,A,0,P 1
6e 1,BOP,(Mo)/Vo,55 H,F,1Ss,P 2 m 6
6e 1,GEC,Mo/Us+Mo/Sm,@NZSC,D    +E,1Ss,refer gecveg
6e 1,GEC,Mo/Us+Mo/Sm,@NZSC,D    +E,1Ss,refer gecveg
2w 3,WKO,Us,Wt,A,0,P 1
6e 1,GEC,Mo/Us,@NZSC,D    +E,1Ss1T,refer gecveg
7e13,GEC,Vo,@NZSC,G    +F,1Ss1Sh,refer gecveg
7e 4,BOP,(Mo)/Vo,130a,F,1Ss,N3a
6e 5,WKO,Gw,KwH,E    +F,1Ss1Sh,P 1 m 8 p 2
7e27+7w 1,GEC,Wb+Pt,@NZSC,D    +A,1W,refer gecveg
6e 1,GEC,Mo/Us+Mo/Sm,@NZSC,D    +E,1Ss,refer gecveg
3e 1,WKO,Mo,Ke,C,0,P 1 l 1
6e15,WKO,Us+Mm,HoH,E,0,P 1 m 1
4e 6,NLD,Ar',TNH,D,1Sh,P 1
1s 1,WKO,Us,Wh,A /B,0,P 1
7e16,GEC,Sm,@NZSC,F    +E,2Ss1Sh,refer gecveg
1s 1,WKO,Us,Wh,A,0,P 1
4e 1,WKO,(Mo)/Us+Gw,Du,D    +E,0,P 1
8e 5,GEC,Vo,@NZSC,G    +H,2Ss1Sc,refer gecveg
8e 5,GEC,Vo,@NZSC,G    +H,2Ss1Sc,refer gecveg
6e 1,WKO,(Mo)/Mj,DuH,E    +D,1Ss,P 1
6e 5,WKO,Gw,KwH,E    +F,1Ss1Sh,P 1 m 8 p 2
7e16,GEC,Sm+Us,@NZSC,F    +G,2Ss1Da1Su1G,refer gecveg
6e 1,BOP,Mo/Vo,55 H,E,0,cN 5
4s 2,GEC,Wb+(Pt),@NZSC,A,0,refer gecveg
6e16,GEC,Us+Sm,@NZSC,E,1Sh,refer gecveg
3e 1,WKO,Mo,Ke,C,0,P 1
2w 3,WKO,Us,TP,A,0,P 1
8e 1,GEC,Wb,@NZSC,B,2W,refer gecveg
3e 2,GEC,Mo,@NZSC,B    +C,0,refer gecveg
3w 1,COR,Al+Pt,107f,A,0,P 2 h 1
8e 3,BOP,(Mo)/Vo,TS,G,1Da,N3a n4b m 6
6e15,GEC,Vo,@NZSC,D    +E,1Ss,refer gecveg
4e 4,BOP,Mo/Vo,18,C    +D,0,N 6
7e 4,BOP,(Mo)/Vo,130a,F    +G,2Ss1Da,M 6 P 2 m 1
2s 2,NLD,Us,C1,A,0,P 1
4w 2,GEC,Pt+Wb,@NZSC,A    +B,0,refer gecveg
6e 7,WKO,Mj+Mm,RwH,E    +F,1Ss,P 1
6s 3,GEC,Wb,@NZSC,A,1W,refer gecveg
3e 1,BOP,Mo/Us,54a,B /C,0,P 1
6e 3,GEC,(Mo)/Mj,@NZSC,E    +F,1Ss,refer gecveg
4w 2,GEC,Pt+Wb,@NZSC,A    +B,0,refer gecveg
6e 2,BOP,Mo/Us,54 H,E,1Ss,P 1 m 8
6e16,GEC,Sm,@NZSC,E    +F,1Sh,refer gecveg
6e10,GEC,(Mo)/Mj+(Mo)/Mb,@NZSC,E    +F,1Ss1G 1Sh,refer gecveg
6e 1,GEC,Mo/Us,@NZSC,D    +E,0,refer gecveg
4e 1,GEC,Mo/Mj,@NZSC,D,0,refer gecveg
6e 1,BOP,Mo/Vo,55 H,D /E,0,cN 5 p 1
8e 6,GEC,Sm,@NZSC,G,3Da,refer gecveg
6e 1,NLD,Sb',YCrH,E    +F,0,M 1 M 6
6e 5,WKO,Gw,KwH,E    +F,1Ss,M 1 m 6 n 5
2s 1,WKO,Us+Mo,48,B    +C,0,P 1
7e 3,GEC,Mb,@NZSC,F    +G,1Ss1Sh,refer gecveg
6e 2,WKO,Mo/Gw',HmR,D /E,1Ss1Sh,P 1
4e 1,WKO,Mo,Du,C /D,0,P 1
3e 1,GEC,Mo/Mj,@NZSC,C,0,refer gecveg
6e 1,BOP,Mo/Vo,54 H,E /F,1Ss,P 1 m 8 n 6
7e 2,GEC,Mm,@NZSC,F    +G,2Ss1Sh,refer gecveg
4e 1,GEC,Mo/Mj,@NZSC,D    +C,0,refer gecveg
3w 3,GEC,Al,@NZSC,A,0,refer gecveg
2w 2,WKO,Pt+Al,Mo,A,0,P 1
6e 2,GEC,(Mo)/Mj,@NZSC,D    +B,1Ss,refer gecveg
3w 1,WKO,Pt+Al,Tt,A,0,P 1 h 2
4e 1,WKO,Mo,60,D,0,P 1
8w 1,BOP,Pt,109,A,0,M12 H 5
2s 2,TMU,Lo,Ma,A,0,P 1 L 1
4e 8,NLD,Mx,AP,C    +B,2Ef1G,P 1 h 2
